/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode: 175 | Reward: 100.0 | Policy Loss: -4.445052623748779 | critic Loss: 0.16196492314338684 | Steps: 4529
Episode: 176 | Reward: 86.0 | Policy Loss: -4.569321632385254 | critic Loss: 0.031699471175670624 | Steps: 4615
Episode: 177 | Reward: 120.0 | Policy Loss: -4.374080181121826 | critic Loss: 0.06577501446008682 | Steps: 4735
Episode: 178 | Reward: 128.0 | Policy Loss: -4.415441513061523 | critic Loss: 0.08117308467626572 | Steps: 4863
Episode: 179 | Reward: 200.0 | Policy Loss: -4.337991714477539 | critic Loss: 0.06459832936525345 | Steps: 5063
Episode: 180 | Reward: 161.0 | Policy Loss: -4.317087173461914 | critic Loss: 0.0276890080422163 | Steps: 5224
Episode: 181 | Reward: 124.0 | Policy Loss: -4.2647223472595215 | critic Loss: 0.03832381218671799 | Steps: 5348
Episode: 182 | Reward: 119.0 | Policy Loss: -4.26630163192749 | critic Loss: 0.19394345581531525 | Steps: 5467
Episode: 183 | Reward: 128.0 | Policy Loss: -4.10381555557251 | critic Loss: 0.06536158174276352 | Steps: 5595
Episode: 184 | Reward: 124.0 | Policy Loss: -4.221776008605957 | critic Loss: 0.042333897203207016 | Steps: 5719
Episode: 185 | Reward: 122.0 | Policy Loss: -4.106958866119385 | critic Loss: 0.051236655563116074 | Steps: 5841
Episode: 186 | Reward: 131.0 | Policy Loss: -4.029626369476318 | critic Loss: 0.021067259833216667 | Steps: 5972
Episode: 187 | Reward: 121.0 | Policy Loss: -4.004558563232422 | critic Loss: 0.14076560735702515 | Steps: 6093
Episode: 188 | Reward: 163.0 | Policy Loss: -3.9217007160186768 | critic Loss: 0.048567190766334534 | Steps: 6256
Episode: 189 | Reward: 124.0 | Policy Loss: -3.92183518409729 | critic Loss: 0.04750192537903786 | Steps: 6380
Episode: 190 | Reward: 147.0 | Policy Loss: -3.9296157360076904 | critic Loss: 0.03185282647609711 | Steps: 6527
Episode: 191 | Reward: 123.0 | Policy Loss: -3.906222343444824 | critic Loss: 0.028259821236133575 | Steps: 6650
Episode: 192 | Reward: 130.0 | Policy Loss: -3.8865714073181152 | critic Loss: 0.03256295993924141 | Steps: 6780
Episode: 193 | Reward: 106.0 | Policy Loss: -3.8421695232391357 | critic Loss: 0.09947250783443451 | Steps: 6886
Episode: 194 | Reward: 118.0 | Policy Loss: -3.811706066131592 | critic Loss: 0.02140246517956257 | Steps: 7004
Episode: 195 | Reward: 120.0 | Policy Loss: -3.67594313621521 | critic Loss: 0.08778318017721176 | Steps: 7124
Episode: 196 | Reward: 105.0 | Policy Loss: -3.737194776535034 | critic Loss: 0.032226547598838806 | Steps: 7229
Episode: 197 | Reward: 129.0 | Policy Loss: -3.795286178588867 | critic Loss: 0.02275630086660385 | Steps: 7358
Episode: 198 | Reward: 120.0 | Policy Loss: -3.658458709716797 | critic Loss: 0.05060107633471489 | Steps: 7478
Episode: 199 | Reward: 147.0 | Policy Loss: -3.7505245208740234 | critic Loss: 0.018946580588817596 | Steps: 7625
Episode: 200 | Reward: 143.0 | Policy Loss: -3.679025173187256 | critic Loss: 0.014620600268244743 | Steps: 7768
Episode: 201 | Reward: 127.0 | Policy Loss: -3.6244497299194336 | critic Loss: 0.02512473240494728 | Steps: 7895
Episode: 202 | Reward: 87.0 | Policy Loss: -3.6768929958343506 | critic Loss: 0.013523822650313377 | Steps: 7982
Episode: 203 | Reward: 133.0 | Policy Loss: -3.6708462238311768 | critic Loss: 0.010129441507160664 | Steps: 8115
Episode: 204 | Reward: 77.0 | Policy Loss: -3.6240477561950684 | critic Loss: 0.021862875670194626 | Steps: 8192
Episode: 205 | Reward: 121.0 | Policy Loss: -3.583092212677002 | critic Loss: 0.028803808614611626 | Steps: 8313
Episode: 206 | Reward: 128.0 | Policy Loss: -3.6463167667388916 | critic Loss: 0.009102844633162022 | Steps: 8441
Episode: 207 | Reward: 144.0 | Policy Loss: -3.5887389183044434 | critic Loss: 0.030826522037386894 | Steps: 8585
Episode: 208 | Reward: 132.0 | Policy Loss: -3.5518546104431152 | critic Loss: 0.01273320708423853 | Steps: 8717
Episode: 209 | Reward: 169.0 | Policy Loss: -3.520643472671509 | critic Loss: 0.024171464145183563 | Steps: 8886
Episode: 210 | Reward: 123.0 | Policy Loss: -3.5832250118255615 | critic Loss: 0.01897745579481125 | Steps: 9009
Episode: 211 | Reward: 124.0 | Policy Loss: -3.532909870147705 | critic Loss: 0.012855704873800278 | Steps: 9133
Episode: 212 | Reward: 147.0 | Policy Loss: -3.350101947784424 | critic Loss: 0.026099268347024918 | Steps: 9280
Episode: 213 | Reward: 146.0 | Policy Loss: -3.390634775161743 | critic Loss: 0.009273868054151535 | Steps: 9426
Episode: 214 | Reward: 125.0 | Policy Loss: -3.42887282371521 | critic Loss: 0.01583360694348812 | Steps: 9551
Episode: 215 | Reward: 127.0 | Policy Loss: -3.3406989574432373 | critic Loss: 0.07627901434898376 | Steps: 9678
Episode: 216 | Reward: 125.0 | Policy Loss: -3.3954999446868896 | critic Loss: 0.022885359823703766 | Steps: 9803
Episode: 217 | Reward: 146.0 | Policy Loss: -3.4688048362731934 | critic Loss: 0.035692986100912094 | Steps: 9949
Episode: 218 | Reward: 139.0 | Policy Loss: -3.3490097522735596 | critic Loss: 0.014607125893235207 | Steps: 10088
